"Metric","Value","Page"
"Display title","Marlon Bröhr","Marlon_Bröhr"
"Default sort key","Bröhr, Marlon","Marlon_Bröhr"
"Page length (in bytes)","16,534","Marlon_Bröhr"
"Namespace ID","0","Marlon_Bröhr"
"Page ID","70977335","Marlon_Bröhr"
"Page content language","en - English","Marlon_Bröhr"
"Page content model","wikitext","Marlon_Bröhr"
"Indexing by robots","Allowed","Marlon_Bröhr"
"Number of page watchers","Fewer than 30 watchers","Marlon_Bröhr"
"Number of redirects to this page","0","Marlon_Bröhr"
"Counted as a content page","Yes","Marlon_Bröhr"
"Wikidata item ID","Q36313751","Marlon_Bröhr"
"Local description","German politician","Marlon_Bröhr"
"Central description","German politician","Marlon_Bröhr"
"Page image","","Marlon_Bröhr"
"Page views in the past 30 days","55","Marlon_Bröhr"
"Display title","Martin Reichardt","Martin_Reichardt"
"Default sort key","Reichardt, Martin","Martin_Reichardt"
"Page length (in bytes)","2,420","Martin_Reichardt"
"Namespace ID","0","Martin_Reichardt"
"Page ID","63411474","Martin_Reichardt"
"Page content language","en - English","Martin_Reichardt"
"Page content model","wikitext","Martin_Reichardt"
"Indexing by robots","Allowed","Martin_Reichardt"
"Number of page watchers","Fewer than 30 watchers","Martin_Reichardt"
"Number of redirects to this page","1","Martin_Reichardt"
"Counted as a content page","Yes","Martin_Reichardt"
"Wikidata item ID","Q36338130","Martin_Reichardt"
"Local description","German politician","Martin_Reichardt"
"Central description","German politician (AfD)","Martin_Reichardt"
"Page image","","Martin_Reichardt"
"Page views in the past 30 days","90","Martin_Reichardt"
"Display title","Pascal Meiser","Pascal_Meiser"
"Default sort key","Meiser, Pascal","Pascal_Meiser"
"Page length (in bytes)","3,034","Pascal_Meiser"
"Namespace ID","0","Pascal_Meiser"
"Page ID","63402892","Pascal_Meiser"
"Page content language","en - English","Pascal_Meiser"
"Page content model","wikitext","Pascal_Meiser"
"Indexing by robots","Allowed","Pascal_Meiser"
"Number of page watchers","Fewer than 30 watchers","Pascal_Meiser"
"Number of redirects to this page","0","Pascal_Meiser"
"Counted as a content page","Yes","Pascal_Meiser"
"Wikidata item ID","Q40136224","Pascal_Meiser"
"Local description","German politician","Pascal_Meiser"
"Central description","German politician","Pascal_Meiser"
"Page image","","Pascal_Meiser"
"Page views in the past 30 days","41","Pascal_Meiser"
"Display title","Falko Mohrs","Falko_Mohrs"
"Default sort key","Mohrs, Falko","Falko_Mohrs"
"Page length (in bytes)","8,437","Falko_Mohrs"
"Namespace ID","0","Falko_Mohrs"
"Page ID","63430476","Falko_Mohrs"
"Page content language","en - English","Falko_Mohrs"
"Page content model","wikitext","Falko_Mohrs"
"Indexing by robots","Allowed","Falko_Mohrs"
"Number of page watchers","Fewer than 30 watchers","Falko_Mohrs"
"Number of redirects to this page","0","Falko_Mohrs"
"Counted as a content page","Yes","Falko_Mohrs"
"Wikidata item ID","Q41111971","Falko_Mohrs"
"Local description","German politician","Falko_Mohrs"
"Central description","German politician","Falko_Mohrs"
"Page image","","Falko_Mohrs"
"Page views in the past 30 days","109","Falko_Mohrs"
"Display title","Peter Boehringer","Peter_Boehringer"
"Default sort key","Boehringer, Peter","Peter_Boehringer"
"Page length (in bytes)","3,654","Peter_Boehringer"
"Namespace ID","0","Peter_Boehringer"
"Page ID","61697552","Peter_Boehringer"
"Page content language","en - English","Peter_Boehringer"
"Page content model","wikitext","Peter_Boehringer"
"Indexing by robots","Allowed","Peter_Boehringer"
"Number of page watchers","Fewer than 30 watchers","Peter_Boehringer"
"Number of redirects to this page","1","Peter_Boehringer"
"Counted as a content page","Yes","Peter_Boehringer"
"Wikidata item ID","Q37810277","Peter_Boehringer"
"Local description","German politician","Peter_Boehringer"
"Central description","German economist, writer and politician (AfD)","Peter_Boehringer"
"Page image","","Peter_Boehringer"
"Page views in the past 30 days","1,893","Peter_Boehringer"
"Display title","Mariana Harder-Kühnel","Mariana_Harder-Kühnel"
"Default sort key","Harder-Kühnel, Mariana","Mariana_Harder-Kühnel"
"Page length (in bytes)","2,184","Mariana_Harder-Kühnel"
"Namespace ID","0","Mariana_Harder-Kühnel"
"Page ID","59002605","Mariana_Harder-Kühnel"
"Page content language","en - English","Mariana_Harder-Kühnel"
"Page content model","wikitext","Mariana_Harder-Kühnel"
"Indexing by robots","Allowed","Mariana_Harder-Kühnel"
"Number of page watchers","Fewer than 30 watchers","Mariana_Harder-Kühnel"
"Number of redirects to this page","0","Mariana_Harder-Kühnel"
"Counted as a content page","Yes","Mariana_Harder-Kühnel"
"Wikidata item ID","Q40472081","Mariana_Harder-Kühnel"
"Local description","German politician (born 1974)","Mariana_Harder-Kühnel"
"Central description","German politician (born 1974)","Mariana_Harder-Kühnel"
"Page image","","Mariana_Harder-Kühnel"
"Page views in the past 30 days","1,808","Mariana_Harder-Kühnel"
"Display title","Andrew Ullmann","Andrew_Ullmann"
"Default sort key","Ullmann, Andrew","Andrew_Ullmann"
"Page length (in bytes)","8,025","Andrew_Ullmann"
"Namespace ID","0","Andrew_Ullmann"
"Page ID","63390088","Andrew_Ullmann"
"Page content language","en - English","Andrew_Ullmann"
"Page content model","wikitext","Andrew_Ullmann"
"Indexing by robots","Allowed","Andrew_Ullmann"
"Number of page watchers","Fewer than 30 watchers","Andrew_Ullmann"
"Number of redirects to this page","1","Andrew_Ullmann"
"Counted as a content page","Yes","Andrew_Ullmann"
"Wikidata item ID","Q38504341","Andrew_Ullmann"
"Local description","German politician","Andrew_Ullmann"
"Central description","German politician (FDP)","Andrew_Ullmann"
"Page image","","Andrew_Ullmann"
"Page views in the past 30 days","99","Andrew_Ullmann"
"Display title","Bettina Stark-Watzinger","Bettina_Stark-Watzinger"
"Default sort key","Stark-Watzinger, Bettina","Bettina_Stark-Watzinger"
"Page length (in bytes)","21,007","Bettina_Stark-Watzinger"
"Namespace ID","0","Bettina_Stark-Watzinger"
"Page ID","63389204","Bettina_Stark-Watzinger"
"Page content language","en - English","Bettina_Stark-Watzinger"
"Page content model","wikitext","Bettina_Stark-Watzinger"
"Indexing by robots","Allowed","Bettina_Stark-Watzinger"
"Number of page watchers","Fewer than 30 watchers","Bettina_Stark-Watzinger"
"Number of redirects to this page","0","Bettina_Stark-Watzinger"
"Counted as a content page","Yes","Bettina_Stark-Watzinger"
"Wikidata item ID","Q39080194","Bettina_Stark-Watzinger"
"Local description","German politician (born 1968)","Bettina_Stark-Watzinger"
"Central description","German politician","Bettina_Stark-Watzinger"
"Page image","","Bettina_Stark-Watzinger"
"Page views in the past 30 days","875","Bettina_Stark-Watzinger"
"Display title","Nina Stahr","Nina_Stahr"
"Default sort key","Stahr, Nina","Nina_Stahr"
"Page length (in bytes)","4,054","Nina_Stahr"
"Namespace ID","0","Nina_Stahr"
"Page ID","69861259","Nina_Stahr"
"Page content language","en - English","Nina_Stahr"
"Page content model","wikitext","Nina_Stahr"
"Indexing by robots","Allowed","Nina_Stahr"
"Number of page watchers","Fewer than 30 watchers","Nina_Stahr"
"Number of redirects to this page","0","Nina_Stahr"
"Counted as a content page","Yes","Nina_Stahr"
"Wikidata item ID","Q40229624","Nina_Stahr"
"Local description","German politician (born 1982)","Nina_Stahr"
"Central description","German politician","Nina_Stahr"
"Page image","","Nina_Stahr"
"Page views in the past 30 days","46","Nina_Stahr"
"Display title","Reinhard Houben","Reinhard_Houben"
"Default sort key","Houben, Reinhard","Reinhard_Houben"
"Page length (in bytes)","4,198","Reinhard_Houben"
"Namespace ID","0","Reinhard_Houben"
"Page ID","63382215","Reinhard_Houben"
"Page content language","en - English","Reinhard_Houben"
"Page content model","wikitext","Reinhard_Houben"
"Indexing by robots","Allowed","Reinhard_Houben"
"Number of page watchers","Fewer than 30 watchers","Reinhard_Houben"
"Number of redirects to this page","0","Reinhard_Houben"
"Counted as a content page","Yes","Reinhard_Houben"
"Wikidata item ID","Q40892185","Reinhard_Houben"
"Local description","German politician","Reinhard_Houben"
"Central description","German politician (FDP)","Reinhard_Houben"
"Page image","","Reinhard_Houben"
"Page views in the past 30 days","26","Reinhard_Houben"
"Display title","Esther Dilcher","Esther_Dilcher"
"Default sort key","Dilcher, Esther","Esther_Dilcher"
"Page length (in bytes)","4,432","Esther_Dilcher"
"Namespace ID","0","Esther_Dilcher"
"Page ID","63418254","Esther_Dilcher"
"Page content language","en - English","Esther_Dilcher"
"Page content model","wikitext","Esther_Dilcher"
"Indexing by robots","Allowed","Esther_Dilcher"
"Number of page watchers","Fewer than 30 watchers","Esther_Dilcher"
"Number of redirects to this page","0","Esther_Dilcher"
"Counted as a content page","Yes","Esther_Dilcher"
"Wikidata item ID","Q40988876","Esther_Dilcher"
"Local description","German politician (born 1965)","Esther_Dilcher"
"Central description","German politician","Esther_Dilcher"
"Page image","","Esther_Dilcher"
"Page views in the past 30 days","29","Esther_Dilcher"
"Display title","Katrin Staffler","Katrin_Staffler"
"Default sort key","Staffler, Katrin","Katrin_Staffler"
"Page length (in bytes)","4,113","Katrin_Staffler"
"Namespace ID","0","Katrin_Staffler"
"Page ID","63453783","Katrin_Staffler"
"Page content language","en - English","Katrin_Staffler"
"Page content model","wikitext","Katrin_Staffler"
"Indexing by robots","Allowed","Katrin_Staffler"
"Number of page watchers","Fewer than 30 watchers","Katrin_Staffler"
"Number of redirects to this page","0","Katrin_Staffler"
"Counted as a content page","Yes","Katrin_Staffler"
"Wikidata item ID","Q40915597","Katrin_Staffler"
"Local description","German politician","Katrin_Staffler"
"Central description","German politician","Katrin_Staffler"
"Page image","","Katrin_Staffler"
"Page views in the past 30 days","28","Katrin_Staffler"
"Display title","Josephine Ortleb","Josephine_Ortleb"
"Default sort key","Ortleb, Josephine","Josephine_Ortleb"
"Page length (in bytes)","4,940","Josephine_Ortleb"
"Namespace ID","0","Josephine_Ortleb"
"Page ID","63433293","Josephine_Ortleb"
"Page content language","en - English","Josephine_Ortleb"
"Page content model","wikitext","Josephine_Ortleb"
"Indexing by robots","Allowed","Josephine_Ortleb"
"Number of page watchers","Fewer than 30 watchers","Josephine_Ortleb"
"Number of redirects to this page","0","Josephine_Ortleb"
"Counted as a content page","Yes","Josephine_Ortleb"
"Wikidata item ID","Q40919890","Josephine_Ortleb"
"Local description","German politician","Josephine_Ortleb"
"Central description","German politician (SPD)","Josephine_Ortleb"
"Page image","","Josephine_Ortleb"
"Page views in the past 30 days","85","Josephine_Ortleb"
"Display title","Tino Chrupalla","Tino_Chrupalla"
"Default sort key","Chrupalla, Tino","Tino_Chrupalla"
"Page length (in bytes)","20,520","Tino_Chrupalla"
"Namespace ID","0","Tino_Chrupalla"
"Page ID","61667522","Tino_Chrupalla"
"Page content language","en - English","Tino_Chrupalla"
"Page content model","wikitext","Tino_Chrupalla"
